StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q178,Q4#1_1,Q4#2_1,Q4#3_1,Q47_First Click,Q47_Last Click,Q47_Page Submit,Q47_Click Count,list_cn,reading_cn,army_cn,clothes_cn,apple_cn,tree_cn,carpeting_cn,house_cn,room_cn,rent_cn,houseplants_cn,door_cn,voting_cn,tree_cn,personality_cn,toothbrusing_cn,test_cn,greeting_cn,temptation_cn,eating_cn,garden_cn,car_cn,cavity_cn,child_cn,doorbell_cn,attention check,attention check_5_TEXT,Q61_1,Q167#1_1,Q167#2_1,Q167#3_1,Q73_First Click,Q73_Last Click,Q73_Page Submit,Q73_Click Count,list_dn,reading_dn,army_dn,clothes_dn,apple_dn,tree_dn,carpeting_dn,house_dn,room_dn,rent_dn,houseplants_dn,door_dn,voting_dn,tree_dn,personality_dn,toothbrushing_dn,test_dn,greeting_dn,temptation_dn,eathing_dn,garden_dn,car_dn,cavity_dn,child_dn,doorbell_dn,Q101,Q101_5_TEXT,Q102_1,Q117#1_1,Q117#2_1,Q119_First Click,Q119_Last Click,Q119_Page Submit,Q119_Click Count,list_cb,reading_cb,army_cb,clothes_cb,apple_cb,tree_cb,carpeting_cb,house_cb,room_cb,rent_cb,houseplants_cb,door_cb,voting_cb,tree_cb,presonality_cb,toothbrushing_cb,test_cb,greeting_cb,temptation_cb,eating_cb,garden_cb,travelling_cb,cavity_cb,child_cb,doorbell_cb,Q147,Q147_5_TEXT,Q148_1,Q165#1_1,Q152_First Click,Q152_Last Click,Q152_Page Submit,Q152_Click Count,list_db,reading_db,army_db,clothes_db,apple_db,tree_db,carpeting_db,house_db,room_db,rent_db,houseplants_db,door_db,voting_db,tree_db,personality_db,toothbrushing_db,test_db,greeting_db,temptation_db,eating_db,garden_db,car_db,cavity_db,child_db,doorbell_db,Q180,Q180_5_TEXT,Q181_1,Q44_1,Q44_2,Q44_3,Q44_4,Q44_5,Q44_6,Q44_7,Q44_8,Q44_9,Q46,Q47,Q48,Q62,Q171,Q173,Q176,Q177,Q49,Q52,Q63,Q56,Q58,Q59,Q60
2022-05-13 10:49:46,2022-05-13 10:55:05,IP Address,2.221.182.61,100,319,True,2022-05-13 10:55:05,R_3kM9j5vpnOi0S2d,,,,,51.4708,-2.0822,anonymous,EN,5e6a984a2e021b050fb2838e,May,19,2022,0,0,60.077,0,Writing things down,Following lines of print,Helping the Nations defense,,Getting something to eat,Wielding an axe,Getting ready to remodel,Vacuuming the floor,Making the room look fresh,Maintaining a place to live,,Securing the house,,,,Moving a brush around in ones mouth,,Showing friendliness,"Saying ""no""",Getting nutrition,,Following a map,Going to the dentist,,,Thursday next week,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,3,4,Not at all,4,2,5,4,Extremely easy,Understood completely,No,,28,Male,Very liberal,Yes,Never,Never,Not at all,imaging a day in your future,no,no ,no
2022-05-13 10:48:48,2022-05-13 10:56:10,IP Address,31.52.233.181,100,442,True,2022-05-13 10:56:10,R_2Cy6fEqOZ3jdqTY,,,,,53.4467,-2.225,anonymous,EN,5f69cce68ba9980008046559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,0,0,60.053,0,Getting organized,Following lines of print,Helping the Nations defense,Putting clothes into the machine,Getting something to eat,Getting firewood,Getting ready to remodel,Showing ones cleanliness,Making the room look fresh,Maintaining a place to live,Watering plants,Putting a key in the lock,Influencing the election,Getting a good view,Answering questions,Moving a brush around in ones mouth,Answering questions,Saying hello,"Saying ""no""",Chewing and swallowing,Planting seeds,Following a map,Going to the dentist,Teaching a child something,Moving a finger,Next year,,3,5,5,6,6,3,2,2,5,6,Moderately easy,6,Yes,Will be moving to bristol in august ,22,Female,Slightly liberal,Yes,Sometimes,2,Not at all,interesting ,no ,no ,no
2022-05-13 10:50:44,2022-05-13 10:58:41,IP Address,72.136.95.11,100,477,True,2022-05-13 10:58:42,R_8kQsv6ea9DyCxMd,,,,,45.3295,-75.6156,anonymous,EN,6089ccf43f43e48ba34f3d61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,June,30,2023,0,0,60.019,0,Getting organized,Gaining knowledge,Helping the Nations defense,Putting clothes into the machine,Getting something to eat,Getting firewood,Getting ready to remodel,Vacuuming the floor,Making the room look fresh,Maintaining a place to live,Watering plants,Securing the house,Influencing the election,Getting a good view,Answering questions,Preventing tooth decay,Answering questions,Saying hello,Showing moral courage,Getting nutrition,Planting seeds,Seeing the countryside,Going to the dentist,Teaching a child something,Seeing if someones home,June 30th next year,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very much so,Not at all,3,Very much so,Not at all,6,4,2,Not at all,Slightly difficult,Understood completely,No,,29,Male,"Moderate, middle of the road",Yes,Never,Never,Not at all,How we decide to plan things,"If I understand this question correctly, I have not done a survey like this",No,N/A
2022-05-13 10:51:34,2022-05-13 10:59:22,IP Address,82.4.246.5,100,468,True,2022-05-13 10:59:22,R_306Im52R2kKRcwo,,,,,52.6726,-2.4488,anonymous,EN,5aa2b230b5e2110001c719be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,0,0,60.056,0,Getting organized,Gaining knowledge,Helping the Nations defense,Putting clothes into the machine,Getting something to eat,Getting firewood,Getting ready to remodel,Vacuuming the floor,Making the room look fresh,Maintaining a place to live,Watering plants,Securing the house,Influencing the election,Holding on to branches,Revealing what you are like,Preventing tooth decay,Showing ones knowledge,Showing friendliness,"Saying ""no""",Getting nutrition,Getting fresh vegetables,Seeing the countryside,Going to the dentist,Using simple words,Seeing if someones home,Next year,,5,Very much so,2,Very much so,5,Not at all,6,4,5,2,Slightly easy,Understood completely,Yes,A child,21,Male,"Moderate, middle of the road",Yes,Never,Never,Not at all,Gaining insight on how individuals plan their future.,"No, I had not.",No.,No.
2022-05-13 10:51:36,2022-05-13 10:59:33,IP Address,174.115.129.190,100,476,True,2022-05-13 10:59:33,R_2WUWf1njppxjK6F,,,,,45.3295,-75.6156,anonymous,EN,6101ef1236355f4ac2ec8fce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,May,2022,0,0,60.014,0,Writing things down,Following lines of print,Helping the Nations defense,Putting clothes into the machine,Pulling an apple off a branch,Wielding an axe,Using a yard stick,Vacuuming the floor,Applying brush strokes,Writing a check,Watering plants,Putting a key in the lock,Marking a ballot,Holding on to branches,Answering questions,Moving a brush around in ones mouth,Answering questions,Saying hello,"Saying ""no""",Chewing and swallowing,Planting seeds,Seeing the countryside,Going to the dentist,Using simple words,Moving a finger,Next week,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,5,2,Not at all,5,4,5,3,Moderately easy,Understood completely,Yes,Getting job interviews or potentially getting hired.,20,Female,Liberal,Yes,Never,Never,Not at all,Seeing how people plan and think about their future.,No,Making me think of certain changes and events coming next week gave me hope for good things to come.,No.
2022-05-13 10:53:47,2022-05-13 10:59:58,IP Address,87.114.54.128,100,370,True,2022-05-13 10:59:58,R_2w5iXD4ISxrAym4,,,,,52.3384,-3.9689,anonymous,EN,5ef7c6094ffead5091899f98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,May,2022,0,0,61.704,0,Writing things down,Gaining knowledge,Signing up,Putting clothes into the machine,Getting something to eat,Wielding an axe,Using a yard stick,Vacuuming the floor,Applying brush strokes,Maintaining a place to live,Watering plants,Securing the house,Marking a ballot,Holding on to branches,Answering questions,Preventing tooth decay,Showing ones knowledge,Saying hello,"Saying ""no""",Getting nutrition,Planting seeds,Seeing the countryside,Going to the dentist,Using simple words,Moving a finger,Next week,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,5,4,5,4,4,3,4,Neither easy nor difficult,3,No,,23,Male,"Moderate, middle of the road",Yes,Never,Never,3,Thinking about the future,No,No,No
2022-05-13 10:54:57,2022-05-13 11:00:57,IP Address,151.225.142.172,100,360,True,2022-05-13 11:00:58,R_2AGBOucJmTSeNVl,,,,,51.631,-3.4774,anonymous,EN,5f406d8b0750721b52aff416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,0.811,0.811,60.038,1,Writing things down,Gaining knowledge,Signing up,Putting clothes into the machine,Pulling an apple off a branch,Wielding an axe,Using a yard stick,Vacuuming the floor,Applying brush strokes,Writing a check,Watering plants,Securing the house,Marking a ballot,Holding on to branches,Answering questions,Moving a brush around in ones mouth,Answering questions,Saying hello,"Saying ""no""",Chewing and swallowing,Planting seeds,Following a map,Protecting your teeth,Using simple words,Seeing if someones home,Next year,,15,5,4,6,5,Not at all,6,4,4,Not at all,Slightly easy,6,Yes,Graduating university ,21,Female,Slightly liberal,Yes,Never,Never,2,To see if people thought more logically and literal about actions or what those actions meant ,No ,No ,
2022-05-13 10:55:15,2022-05-13 11:02:42,IP Address,90.217.98.134,100,447,True,2022-05-13 11:02:42,R_soMaI4HcyvyOR21,,,,,51.6706,-1.2794,anonymous,EN,570d45dc42a1db000ec4d1ce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,0,0,61.924,0,Writing things down,Gaining knowledge,Helping the Nations defense,Putting clothes into the machine,Pulling an apple off a branch,Wielding an axe,Using a yard stick,Vacuuming the floor,Applying brush strokes,Writing a check,Watering plants,Putting a key in the lock,Marking a ballot,Holding on to branches,Answering questions,Moving a brush around in ones mouth,Answering questions,Saying hello,"Saying ""no""",Chewing and swallowing,Planting seeds,Seeing the countryside,Going to the dentist,Using simple words,Moving a finger,Next year,,7,2,6,5,2,Not at all,3,5,6,Not at all,Moderately easy,Understood completely,No,,36,Female,Liberal,Yes,Never,Never,Not at all,"How literally people think about the tasks they are doing, whether they think more about the action or the gain","I think I have seen them before, they were similar tasks to the ones on this list as far as I can remember",No,No
2022-05-13 10:57:15,2022-05-13 11:02:49,IP Address,82.36.144.35,100,333,True,2022-05-13 11:02:49,R_1o0AvBhAQwkMkZj,,,,,51.2738,0.4977,anonymous,EN,5ba1339f4787180001e5d3e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,May,2022,0,0,60.016,0,Getting organized,Gaining knowledge,Signing up,Putting clothes into the machine,Pulling an apple off a branch,Wielding an axe,Getting ready to remodel,Vacuuming the floor,Applying brush strokes,Maintaining a place to live,Watering plants,Securing the house,Influencing the election,Holding on to branches,Revealing what you are like,Preventing tooth decay,Showing ones knowledge,Showing friendliness,Showing moral courage,Chewing and swallowing,Planting seeds,Seeing the countryside,Going to the dentist,Using simple words,Seeing if someones home,Next week,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,6,5,Not at all,5,3,5,Not at all,Moderately easy,Understood completely,No,,33,Female,Liberal,Yes,2,Never,3,Intuition vs logic in how we view future events and what we do,No,No,No
2022-05-13 10:56:53,2022-05-13 11:02:57,IP Address,2.26.54.130,100,363,True,2022-05-13 11:02:57,R_2q43uq3Loi0P4YJ,,,,,51.7864,0.5998,anonymous,EN,58949eb70406cb00012d3603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,June,30,2023,57.509,57.509,60.067,1,Writing things down,Following lines of print,Signing up,Putting clothes into the machine,Getting something to eat,Wielding an axe,Getting ready to remodel,Showing ones cleanliness,Applying brush strokes,Maintaining a place to live,Watering plants,Securing the house,Influencing the election,Holding on to branches,Answering questions,Preventing tooth decay,Answering questions,Saying hello,"Saying ""no""",Chewing and swallowing,Planting seeds,Following a map,Going to the dentist,Using simple words,Seeing if someones home,June 30th next year,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very much so,3,6,6,Not at all,5,2,4,Not at all,Moderately easy,Understood completely,No,,38,Female,Slightly conservative,Yes,2,Never,Not at all,Reading someones intuition  on their future feelings,No,No,No
