StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,block_1_prolific_ID,block_2_check#1_1,block_2_check#2_1,block_2_check#3_1,Q47_First Click,Q47_Last Click,Q47_Page Submit,Q47_Click Count,block_2_sf_dn,block_2_nh_dn,block_2_fh_dn,block_2_ph_dn,block_2_att_check,block_2_att_check_5_TEXT,block_2_how_far_1,Q229#1_1,Q231_First Click,Q231_Last Click,Q231_Page Submit,Q231_Click Count,block_2_sf_db,block_2_nh_db,block_2_fh_db,block_2_ph_db,Q237,Q237_5_TEXT,Q238_1,Q218#1_1,Q218#2_1,Q218#3_1,Q220_First Click,Q220_Last Click,Q220_Page Submit,Q220_Click Count,block_2_sf_cn,block_2_nh_cn,block_2_fh_cn,block_2_ph_cn,Q226,Q226_5_TEXT,Q227_1,Q207#1_1,Q207#2_1,Q209_First Click,Q209_Last Click,Q209_Page Submit,Q209_Click Count,block_2_sf_cb,block_2_nh_cb,block_2_fh_cb,block_2_ph_cb,Q215,Q215_5_TEXT,Q216_1,block_3_ease_of_proc,block_3_lang_underst,block_3_life_change,block_3_which_change,block_4_age,block_4_gender,block_4_cons_lib,block_4_english_lang,block_5_hurry,block_5_no_reading,block_5_distracted,block_5_study_about,block_5_seen_this,block_5_influence,block_5_feedback
2022-07-06 03:38:07,2022-07-06 03:42:01,IP Address,86.133.197.250,100,233,True,2022-07-06 03:42:01,R_3oSApRFzEYkQrmW,,,,,55.8621,-4.0312,anonymous,EN,61f2aae9a09e72f23cbaf266,,,,,,,,,,,,,,,2023,0,0,60.007,0,"I have read a sci fix book, nit my favourite cateogry or genre of book, but it was needed o be completed","I have read a sci fix book, nit my favourite cateogry or genre of book, but it was needed o be completed","I have read a sci fix book, nit my favourite cateogry or genre of book, but it was needed o be completed","I have read a sci fix book, nit my favourite cateogry or genre of book, but it was needed o be completed",Next year,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Extremely difficult,5,No,,29,Female,Liberal,Yes,2,Never,2,ethinking about events in the future,no,no,
2022-07-06 03:34:59,2022-07-06 03:43:31,IP Address,68.37.247.228,100,511,True,2022-07-06 03:43:31,R_doE5pxRXLJqAiJP,,,,,42.3344,-83.1756,anonymous,EN,5e85fa18075f2920476c8b58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July,2022,0,0,60.115,0,"hey mom,

I read a wonderful book this week by Lovecraft. Despite being over 100 years old, the story still holds up. I picked up a few more of his books and plan to start them next week. Im hoping that they are as good as this one!","Well its moving time,

This will be our third house in 3 years. Hopefully this is the house that is our forever home and we dont need to keep moving for work and school. I love this place though and its still close to some family. I could see us starting a family here and living happily ever after.","Time for some paid holiday leave,

Excited to see the family together again for the first time in a while. The weather will hopefully be as good as it is now and we'll have a blast catching up at my sister's pool. I hope my uncle is able to make it as I know he hasn't been feeling the best lately.","Well the holiday is coming up and what better time to break in the new home,

everything might not be unpacked yet. most things wont be. but we'll adapt. we can eat off of paper plates and get carry out. It will just be nice to get the family over here and see my new home. Hopefully they'll be seeing a lot of it going forward",Next week,,2,Moderately easy,Understood completely,Yes,"I take a major, life stakes exam for medical school within the next week",26,Male,Slightly conservative,Yes,2,Never,2,time perception,not quite like this,not really,no
2022-07-06 03:34:24,2022-07-06 03:45:43,IP Address,88.104.245.69,100,679,True,2022-07-06 03:45:43,R_1o83BeJKo6eGEo0,,,,,52.2451,-0.8237,anonymous,EN,5f241628a3194a227f631fc3,,,,,,,,,,,,,,,,,,,,,,,,,,,July,14,2022,0,0,60.019,0,"Hi guys, next Thursday I'm going to read a science fiction book, I think it's called aliens from space and I'm really looking forward to reading it. Would you like me to tell you about it when I've read it to you or would you rather read it yourself.
Speak soon
love you all mum xx","Hi everyone, you know that I'm moving house, well the day has come and it's next Thursday! Who wants to help me!
Hoping for help....
Love mum xx","Hey everyone, so the day is nearly here and we're going on holiday next Thursday, my case is packed already!
I'll meet you at yours at 10 am and then we can set off
See you soon
love mum xx","Hi all,
I'm having a party at my place on Thursday next week!
It should be fun and you're all invited.
See you at my house at 7pm, don't be late
love you all
mum xx",Thursday next week,,4,,,,,,,,,,,,,,Extremely easy,Understood completely,No,,67,Female,"Moderate, middle of the road",Yes,2,2,Not at all,How I feel about the future,I don't remember,no,no
2022-07-06 03:39:02,2022-07-06 03:46:40,IP Address,176.254.255.76,100,458,True,2022-07-06 03:46:40,R_sRu0xmpnMYZp6ut,,,,,55.1695,-1.5845,anonymous,EN,5c0fac1ebeb5450001192337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July,2022,0,0,60.112,0,"I feel rushed as it is my first week back after 7 days annual leave. I feel as if there are other things I should be doing besides sitting down and reading a science fiction book. This makes the experience unenjoyable, which is a shame as I am also aware that it should/would be a good thing to take the time to relax.","I feel incredibly stressed as we have just moved house in the last 3 years, so moving home means something has gone terribly wrong. This is a sad, distressing, disruptive time and I do not enjoy the experience. I lean on my partner for support but he is stressed too.","I am in my element, an unexpected holiday with family and no work. I have been looking forward to a holiday for the last few weeks and I felt our next abroad holiday was not going to be for a few months yet - so this is a great surprise. ","I have not chose to have a party as it is my first week back at work and i would not arrange or choose to do that this week. I feel stressed and overwhelmed as it means getting the house ready and preparing everything for the party, when I already have a very busy working week.",Next week,,0,Moderately easy,6,No,,37,Female,"Moderate, middle of the road",Yes,Never,Never,2,peoples ability to visualise into the future,no,no i did not,no
2022-07-06 03:42:45,2022-07-06 03:49:10,IP Address,51.198.20.25,100,384,True,2022-07-06 03:49:10,R_1HcnQXTjrCQAlxI,,,,,51.6815,-3.903,anonymous,EN,60fd201eafb410f32682489c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July,2022,0,0,60.014,0,I've got some time off next week so I'm going to relax and read my new science fiction book. I've heard a lot of good things about this author so I'm excited.,It's been a long wait but next week we're set to move into our new home. I can't wait to start decorating and making it our own.,I'm going on holiday with my family next week. I'm looking forward to switching off and relaxing. Work has been so stressful so I really need it.,We're planning a party at ours next week. We haven't long moved in so it's a sort of housewarming party. Hope you can make it!,Next week,,4,Extremely easy,Understood completely,No,,25,Female,Liberal,Yes,Never,Never,Not at all,How clearly people can imagine future events,no,no,no
2022-07-06 03:40:42,2022-07-06 03:50:35,IP Address,81.102.200.109,100,592,True,2022-07-06 03:50:36,R_1OrA8D3I5Aj2qCu,,,,,54.6534,-5.6689,anonymous,EN,5e9b85a506abba08c1bf0ae8,,,,,,,,,,,,,,,2023,0,0,60.118,0,I don't really enjoy science fiction books but I have decided to give one a try. The reason I thought to do this is because it is a bit different to my usual love of thriller books. I thought I would start with a few Stephen King novels. Maybe you can borrow one after I am finished. I expect that I will read it quite slowly as it is not something I would normally enjoy and his books are often very long.,I do not plan on moving into a new home next year but I would like to decorate our house and make the walls have a splash of colour. I would love to make the livingroom a nice muted green like a very light green to match in with the green throw we have. I would also like to paint the kitchen a tan colour. I would love it if you could give me a hand getting this done. It will then feel like a new home and freshened up for the new year.,"We would love to go somewhere hot and spend time with family abroad, the weather would be warm and the scenery would be peaceful with no traffic and no cars. We would enjoy going for gentle walks and lying beside the pool. We might even go snorkelling in the sea and see lots of creatures and fish. ","We would like to have a party at our home for my mums birthday next year, it will likely be a bbq and have a lot of snacks and drinks. Hopefully the weather is nice and we would invite family and friends and have a lot of balloons and decorations set around the house. When she comes in we would surprise with a cake and presents.",Next year,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slightly difficult,Understood completely,No,,36,Female,Liberal,Yes,Never,Never,3,imagination/imagery or life satisfaction ,no,no,na
2022-07-06 03:38:55,2022-07-06 03:51:00,IP Address,81.157.216.146,100,724,True,2022-07-06 03:51:00,R_XYRk9OlrGkj0jLz,,,,,54.5396,-5.975,anonymous,EN,5edf3a73f4a50b1de157ff46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July,2022,0,0,60.024,0,"I love science fiction books. I have quite a few on Audible, so I prefer to listen to them with a cup of coffee in the morning. However I do have some lovely books from many years ago that I would like to pick up and read again. I have a lovely Day Bed to sit and relax on and read.","If I was moving home next week I will make sure that everything is boxed up and labelled. I will have called the moving company to ensure that they are prepared and ready for the moving day. I would put the dog into a kennel for the week to ensure they get a little holiday whilst there is chaos in the new house! I always make sure there is a ""Moving Day Box"" prepared which is the first box to be opened. In it there is a kettle, coffee, snacks, water, first aid kit, phone chargers, pen & paper. That way we know we can relax for a few minutes whilst unpacking.","Holidays are such fun! I would be in Portugal, in a seaside resort. I will have organised a nice apartment via AirBnb. I would spend my mornings on the terrace, with the early morning sun and a cup of coffee, just by myself for 1 hour. I would then prepare breakfast for the family before we head out to the beach for the day. In the beach bag I would carry sun block, towels, water, snacks and some reading material for me. When we come home, it's shower time and out we go for evening dinner and drinks, before coming back to the apartment for bed.","Preparing for a party - I would make sure I knew the number of people that were expected to come, but take off 10% for no shows. I would clean the whole house and set up the living roomf or the party - a drinks area, a snacks area and plenty of additional seating (using the dining room chairs, bean bags and floor cushions!) For drinks and snacks I would ensure there was a good variety but not too much choice, most people like the basics. I would also have a catering company prepare a buffett meal with 2-3 selections.",Next week,,7,Moderately easy,Understood completely,No,,51,Female,"Moderate, middle of the road",Yes,Never,Never,Not at all,Imagination,No,No,No
2022-07-06 03:42:08,2022-07-06 03:53:16,IP Address,146.199.195.242,100,668,True,2022-07-06 03:53:16,R_vZiNifFboXLfqet,,,,,53.6875,-1.6263,anonymous,EN,5aed7ebd75deca0001626f9a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July,2022,0,0,60.042,0,"I've just started reading a sci fi book, I've not read one in ages, and I thought I'd give it a try. I used to read Isaac Asimov, but that was a long time ago.","We're so excited about our move, lots to do, but it will be great once we are settled. I'm really looking forward to making it our own, and hops it will be a nice space.","We are off to the coast, I've missed the sea, and it will be great to get some walks in. Have you got any plans for trips yourselves? I know a lot of things got cancelled last year.","We're having a party, just for the two of us though! Getting some treats in! Some fancy food, maybe some Thai stuff as that will be special.",Next week,,7,Neither easy nor difficult,5,No,,50,Female,"Moderate, middle of the road",Yes,2,Never,3,Can we plan events in the future?,No,"I was thinking about whatni would like to do next week, and what I would do this week to make it happen. My scenarios were different to yours though.",
2022-07-06 03:45:32,2022-07-06 03:53:21,IP Address,81.152.34.29,100,469,True,2022-07-06 03:53:21,R_3rSDVFDFzczbIWJ,,,,,53.3022,-2.2312,anonymous,EN,5a9475f1dbdb470001ee9f6b,,,,,,,,,,,,,,,2023,0,0,60.01,0,I don't think I'll be reading a science fiction book next year.  I'm not a fan at all of science fiction in any format so this will definitely not be happening. ,We won't be moving anywhere new next year but would love to get some jobs done to make our current house new to us once again.,"Oh yes!  this is definitely something we need to plan.  I love holidaying with friends and family as it gives our children playmates which enables us to relax a bit.  However, I think its best if we stay in seperate places.  Too much of a good thing can turn sour!!",Hopefully we will be able to celebrate Christmas in style next year with friends and family.  It is a quieter year for us birthday wise with bigger birthdays the following year but a bit of practice does no harm. ,Next year,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderately easy,Understood completely,No,,40,Female,Slightly conservative,Yes,Never,Never,Not at all,How people look to the future for hope,No,No,No
2022-07-06 03:42:28,2022-07-06 03:54:17,IP Address,92.28.240.250,100,709,True,2022-07-06 03:54:17,R_yEj2eSXcshheWWd,,,,,51.5026,-0.066,anonymous,EN,605cc333ac3638de4fba5da0,,,,,,,,,,,,,,,,,,,,,,,,,,,July,14,2022,0,0,60.123,0,I couldn't really imagine reading a science fiction book next Thursday but I ca imagine reading my new book which I have been waiting to buy in the garden with a cup of tea after work. The weather is supposed to be nice so it will be good to spend some time outside after being in the office all day.,"It would be very exciting to be moving into a new home. I would be feeling pretty stressed with all of the different things to co ordinate and set up, changing over  energy suppliers, setting up internet etc. It would be nice once all the moving has been done and I could sit in my new house, surrounded by boxes, looking forward to making it feel like a home.","I would be on holiday with my two sons, ideally on the east coast of Scotland or in Northumberland. We would have our dog and we would spend the days taking coastal walks, eating pub lunches and watching sunsets whilst playing cards. It would be total relaxation and a chance to forget about everything other than what we were doing in that moment.","Having a party next Thursday would certainly involve a barbeque as the weather is supposed to be lovely. I would have close friends and family. I would have prepared salads etc and get my brother to cook on the barbeque, everyone would be sat round catching up with music in the background and we would all eventually end up having a bit of a dance after food and a few drinks.",Thursday next week,,6,,,,,,,,,,,,,,Slightly easy,5,No,,44,Female,Liberal,Yes,Never,Never,Not at all,use of your imagination,No,No,No
